,NTA_Code,TotalPop,NYCHAperc,PreventHosp,DiversityScore,HealthIns
50,BK96,55669.0,0.5,1758.3,77.5310905379255,84.6
51,BK99,39088.0,0.0,1447.25,74.5724479952214,87.80000000000001
52,BX01,33205.0,36.1,4221.4,81.6279976478659,87.7
53,BX03,35367.0,15.9,2158.7,84.23912392706848,89.2
54,BX05,53362.0,0.0,2619.0,73.29181400402094,82.2
55,BX06,27395.0,0.0,3467.3,71.87920422486603,83.0
56,BX07,35587.0,12.9,2250.9,80.34245453059049,81.6
57,BX08,36844.0,9.0,2183.2,72.14235926277986,78.4
58,BX09,55256.0,21.1,2114.0,70.61331319234355,89.4
59,BX10,26963.0,0.7,1289.2,71.63651303630014,93.3
60,BX13,47442.0,2.9,1633.8,79.76879088967063,92.5
61,BX14,64821.0,4.2,2835.3,80.62822086589782,84.0
62,BX17,43878.0,3.8,3830.6,71.43479544311722,84.7
63,BX22,27264.0,0.0,1158.6,81.74827215299416,94.7
64,BX26,38793.0,5.7,3134.9,82.56500469327183,85.3
65,BX27,26780.0,4.6,3492.1,79.75951353913838,82.7
66,BX28,49787.0,1.5,2020.1,66.24145227876575,81.9
67,BX29,31434.0,2.4,1441.9,86.4802867710324,92.0
68,BX30,30088.0,1.5,2588.6,62.76742785872303,80.9
69,BX31,33848.0,6.1,1745.7,84.15265890035798,90.9
70,BX33,27438.0,4.7,3504.8,77.9157237019589,83.5
71,BX34,40426.0,24.5,3972.5,77.52470573952539,83.9
72,BX35,39894.0,14.9,3524.0,81.46312049019484,85.8
73,BX36,52773.0,4.9,3209.0,69.32431031030889,82.2
74,BX37,30617.0,0.0,1814.7,81.04794877108242,83.9
75,BX39,54487.0,32.3,4175.9,85.80134031587151,81.4
76,BX40,26690.0,3.3,3255.8,86.7510230487226,79.8
77,BX41,52999.0,0.0,3191.7,75.35894107536278,83.4
78,BX43,41804.0,0.0,2761.0,83.01801009419583,84.6
79,BX44,61934.0,2.4,2582.2,66.84377308321247,86.2
80,BX46,29368.0,0.0,1608.4,66.1468064232885,89.3
81,BX49,29911.0,0.0,1538.0,62.968801798986135,86.8
82,BX52,49311.0,7.5,1386.2,79.54288151682714,90.0
83,BX55,36966.0,10.3,2060.7,73.80718122242578,78.9
84,BX59,27952.0,0.5,1987.2,77.45004841831928,85.7
85,BX62,44266.0,0.0,1535.0,87.1976490508775,86.2
86,BX63,37852.0,0.0,3005.0,81.24912307219076,82.6
87,BX75,20756.0,4.3,3516.5,77.5310905379255,85.4
88,BX98,39088.0,0.0,1447.25,77.5310905379255,87.80000000000001
89,BX99,39088.0,0.0,1447.25,91.2433559224999,87.80000000000001
90,MN01,51422.0,8.6,1641.4,70.8861058318201,82.9
91,MN03,81355.0,18.1,2897.5,69.25857347650181,84.7
92,MN04,51644.0,0.9,1904.8,75.08428597249893,81.8
93,MN06,23155.0,11.7,1772.9,63.60227983335189,83.1
94,MN09,55450.0,8.1,1429.5,65.79088082705688,92.6
95,MN11,48596.0,7.9,2221.6,72.09687926672,89.1
96,MN12,136740.0,5.5,1048.8,70.16979407123837,92.4
97,MN13,76034.0,5.8,1188.1,79.5684610885494,93.0
98,MN14,59654.0,4.4,697.4,70.47545672076201,95.9
99,MN15,41972.0,1.6,1285.8,75.77836102740676,88.2
100,MN17,28305.0,0.0,890.6,80.06147637909258,93.6
101,MN19,48998.0,0.0,563.3,71.17302859932265,96.1
102,MN20,47514.0,1.8,1225.1,76.95141324238301,94.3
103,MN21,27396.0,0.0,1138.9,73.67380810030116,94.4
104,MN22,43402.0,1.0,1310.2,83.356283506404,90.3
105,MN23,67521.0,0.0,511.9,74.44541624573,95.6
106,MN24,42082.0,0.0,674.7,74.9058742689784,94.0
107,MN25,42485.0,0.0,910.8,84.90453462566059,94.5
108,MN27,45091.0,12.7,1181.9,61.593100262935295,84.8
109,MN28,74835.0,32.9,2056.0,80.48875697884768,90.0
110,MN31,79735.0,0.2,789.9,80.29769610642637,95.0
111,MN32,80887.0,2.7,765.5,61.13689557051453,93.4
112,MN33,58618.0,25.2,2455.2,66.22809071685518,85.3
113,MN34,60405.0,31.9,3113.0,84.62363735978265,84.7
114,MN35,73704.0,0.0,1340.9,88.39954751015415,86.6
115,MN36,89251.0,1.8,1761.2,87.90955579457787,81.5
116,MN40,58760.0,0.0,533.2,76.86312509910067,97.6
117,MN50,21761.0,0.0,679.2,77.5310905379255,93.2
118,MN99,39088.0,0.0,1447.25,74.61132621794094,87.80000000000001
119,QN01,44116.0,5.4,2526.3,88.76435095239529,84.8
120,QN02,27396.0,0.0,1801.6,95.46177245368955,90.4
121,QN03,21160.0,0.0,1504.7,92.93718308621152,89.6
122,QN05,26989.0,0.0,1251.3,69.19429167207365,89.1
123,QN06,25818.0,0.0,1000.2,81.41044159074437,89.0
124,QN07,21294.0,0.0,1628.1,95.39905659910899,85.2
125,QN08,53797.0,0.0,1700.0,80.0670344149201,87.4
126,QN10,28972.0,0.0,1283.0,64.47604206214895,92.5
127,QN12,36226.0,23.2,2021.8,66.09576385820803,88.4
128,QN15,52266.0,2.8,2005.1,78.92312715547959,86.5
129,QN17,85251.0,0.9,1034.8,82.7036274899717,91.3
130,QN18,26490.0,0.0,975.8,74.41726950110439,86.5
131,QN19,32778.0,0.0,1257.4,77.77551028440766,87.9
